GroupID,GroupSize,nfemales,nmales,SexRatiomf,CaptureStart,CompleteCapture,SessRef,CaptureStart2,WithinGroupRecruits,WithinGroupRecruitsF,WithinGroupRecruitsM,TimeToNextCap,QueenAge,QueenID
Kuruman 10,12,3,9,0.75,2017-08-19,1,337,2018-03-17,3,0,3,210,2451,KR10F004
Kuruman 11,11,6,5,0.4545454545454546,2017-08-19,1,338,2018-03-17,3,2,1,210,1955,KR11F001
Kuruman 1,4,3,1,0.25,2017-10-09,1,348,2018-03-23,0,0,0,165,3246,KR1F007
Kuruman 36,14,9,5,0.35714285714285715,2017-10-09,1,350,2018-04-17,1,0,1,190,1980,KR1F004
Kuruman 10,17,2,15,0.8823529411764706,2018-03-17,1,358,2018-10-02,4,0,4,199,2661,KR10F004
Kuruman 11,15,9,6,0.4,2018-03-17,1,359,2018-10-02,4,3,1,199,2165,KR11F001
Kuruman 26,15,8,7,0.4666666666666667,2018-03-29,1,363,2018-11-06,3,0,3,222,1555,KR13F025
Kuruman 39,3,2,1,0.3333333333333333,2018-04-05,1,367,2018-11-27,2,0,2,236,1722,KR13F019
Kuruman 30,3,1,2,0.6666666666666666,2018-04-13,1,369,2018-09-14,0,0,0,154,1705,KR13F021
Kuruman 28,8,3,5,0.625,2018-04-20,1,372,2018-09-15,2,1,1,148,1427,KR28F001
Kuruman 7,2,1,1,0.5,2018-04-20,1,373,2018-11-13,2,1,1,207,2327,KR7F007
Kuruman 19,8,4,4,0.5,2018-05-23,1,383,2018-11-13,2,0,2,174,2310,KR13F017
Kuruman 28,9,4,5,0.5555555555555556,2018-09-15,1,392,2019-03-19,2,0,2,185,1575,KR28F001
Kuruman 20,14,6,8,0.5714285714285714,2018-09-21,1,396,2019-03-25,5,2,3,185,2483,KR8F003
Kuruman 42,3,2,1,0.3333333333333333,2018-10-15,1,404,2019-03-12,3,1,2,148,892,KR1F022
Kuruman 43,5,3,2,0.4,2018-11-22,1,418,2019-03-19,0,0,0,117,1197,KR13F038
Kuruman 7,6,3,3,0.5,2019-03-09,1,424,2019-09-30,5,3,2,205,2650,KR7F007
Kuruman 28,11,4,7,0.6363636363636364,2019-03-19,1,430,2019-09-16,2,2,0,181,1760,KR28F001
Kuruman 39,5,2,3,0.6,2019-03-19,1,432,2019-09-16,2,0,2,181,2070,KR13F019
