AnimalID	GroupID	Location	TrappingPeriod	DateofCapture	CaptureStart	CaptureEnd	GroupSize	Sex	weight	Rainfall	firstcapturedate	censor	Time.days	Time.years	statecode	state	id	SessRef	SexRatiomf	ScaledWeight	Scale_sexratio	Rainfall.s
KR10M002	Kuruman 10	KRR	9	0017-03-20	2018-03-17	0020-03-20	17	Male	105	121.7158381	2013-11-30	NA	1568	4.292950034	ingroupnonbreeder	1	5	358	0.8823529411764706	0.49082235181924755	0.38235294117647056	0.9662332674199685
KR10M002	NA	KRR	NA	0014-09-20	2018-09-14	NA	NA	Male	NA	NA	2013-11-30	NA	1749	4.788501027	Disappeared	2	5	NA	NA	NA	NA	NA
KR10M006	Kuruman 10	KRR	2	0028-07-20	2014-07-27	0028-07-20	5	Male	29	15.72555258	2014-07-27	NA	0	0	ingroupnonbreeder	1	21	136	0.6	-1.4407316924360045	0.09999999999999998	-0.7982932089696793
KR10M006	Kuruman 10	KRR	3	0016-02-20	2015-02-16	0018-02-20	5	Male	82	60.89109671	2014-07-27	NA	204	0.558521561	ingroupnonbreeder	1	21	84	0.6	-0.09372689841589452	0.09999999999999998	-0.046377143766781787
KR10M006	Kuruman 10	KRR	4	0007-10-20	2015-10-07	0009-10-20	5	Male	121	7.452079085	2014-07-27	NA	437	1.196440794	ingroupnonbreeder	1	21	160	0.6	0.8974653085045637	0.09999999999999998	-0.9360300115644865
KR10M006	Kuruman 10	KRR	5	0026-04-20	2016-04-25	0027-04-20	10	Male	146	116.8075972	2014-07-27	NA	639	1.749486653	ingroupnonbreeder	1	21	174	0.6	1.5328449283253702	0.09999999999999998	0.8845208635137228
KR10M007	Kuruman 10	KRR	4	0007-10-20	2015-10-07	0009-10-20	5	Male	57	7.452079085	2015-10-07	NA	0	0	ingroupnonbreeder	1	34	160	0.6	-0.7291065182367011	0.09999999999999998	-0.9360300115644865
KR10M007	Kuruman 10	KRR	5	0026-04-20	2016-04-25	0027-04-20	10	Male	101	116.8075972	2015-10-07	NA	202	0.553045859	ingroupnonbreeder	1	34	174	0.6	0.3891616126479185	0.09999999999999998	0.8845208635137228
KR10M007	Kuruman 8	KRR	7	0007-02-20	2017-02-06	0008-02-20	12	Male	182	209.6293089	2015-10-07	NA	489	1.338809035	Disappeared	2	34	271	0.5833333333333334	2.4477915808673316	0.08333333333333337	2.4298168977200922
KR10M009	Kuruman 10	KRR	5	0026-04-20	2016-04-25	0027-04-20	10	Male	76	116.8075972	2016-04-25	NA	0	0	ingroupnonbreeder	1	50	174	0.6	-0.24621800717288808	0.09999999999999998	0.8845208635137228
KR10M009	NA	KRR	NA	0025-07-20	2016-07-25	NA	NA	Male	NA	NA	2016-04-25	NA	91	0.249144422	Disappeared	2	50	NA	NA	NA	NA	NA
KR10M011	Kuruman 10	KRR	5	0027-04-20	2016-04-25	0027-04-20	10	Male	74	116.8075972	2016-04-25	NA	0	0	ingroupnonbreeder	1	51	174	0.6	-0.2970483767585526	0.09999999999999998	0.8845208635137228
KR10M011	NA	KRR	NA	0025-07-20	2016-07-25	NA	NA	Male	NA	NA	2016-04-25	NA	91	0.249144422	Disappeared	2	51	NA	NA	NA	NA	NA
KR10M012	Kuruman 10	KRR	5	0026-04-20	2016-04-25	0027-04-20	10	Male	23	116.8075972	2016-04-25	NA	0	0	ingroupnonbreeder	1	52	174	0.6	-1.593222801192998	0.09999999999999998	0.8845208635137228
KR10M012	NA	KRR	NA	0025-07-20	2016-07-25	NA	NA	Male	NA	NA	2016-04-25	NA	91	0.249144422	Disappeared	2	52	NA	NA	NA	NA	NA
KR10M016	Kuruman 10	KRR	7	0021-02-20	2017-02-20	0023-02-20	11	Male	93	209.6293089	2017-02-20	NA	0	0	ingroupnonbreeder	1	101	275	0.9090909090909092	0.18584013430526036	0.40909090909090917	2.4298168977200922
KR10M016	Kuruman 10	KRR	8	0019-08-20	2017-08-19	0022-08-20	12	Male	118	1.34743409	2017-02-20	NA	180	0.492813142	ingroupnonbreeder	1	101	337	0.75	0.821219754126067	0.25	-1.0376601531363236
KR10M016	Kuruman 10	KRR	9	0018-03-20	2018-03-17	0020-03-20	17	Male	147	121.7158381	2017-02-20	NA	391	1.070499658	ingroupnonbreeder	1	101	358	0.8823529411764706	1.5582601131182026	0.38235294117647056	0.9662332674199685
KR10M016	Kuruman 10	KRR	10	0003-10-20	2018-10-02	0010-10-20	16	Male	131	11.76823613	2017-02-20	NA	590	1.615331964	ingroupnonbreeder	1	101	399	0.8125	1.1516171564328863	0.3125	-0.8641746208105754
KR10M016	Kuruman 10	KRR	11	0013-03-20	2019-03-12	0017-03-20	20	Male	146	69.35182863	2017-02-20	NA	751	2.056125941	ingroupnonbreeder	1	101	428	0.8	1.5328449283253702	0.30000000000000004	0.09447713744616895
KR10M016	Kuruman 10	KRR	12	0009-09-20	2019-09-09	0010-09-20	19	Male	119	0.397720048	2017-02-20	NA	931	2.548939083	ingroupnonbreeder	1	101	454	0.8421052631578947	0.8466349389188992	0.3421052631578947	-1.0534709943269704
KR10M016	NA	KRR	NA	0005-03-20	2020-03-05	NA	NA	Male	NA	NA	2017-02-20	NA	1109	3.036276523	Disappeared	2	101	NA	NA	NA	NA	NA
KR10M018	Kuruman 10	KRR	7	0021-02-20	2017-02-20	0023-02-20	11	Male	48	209.6293089	2017-02-20	NA	0	0	ingroupnonbreeder	1	102	275	0.9090909090909092	-0.9578431813721915	0.40909090909090917	2.4298168977200922
KR10M018	Kuruman 10	KRR	8	0019-08-20	2017-08-19	0022-08-20	12	Male	92	1.34743409	2017-02-20	NA	180	0.492813142	ingroupnonbreeder	1	102	337	0.75	0.1604249495124281	0.25	-1.0376601531363236
KR10M018	Kuruman 10	KRR	9	0018-03-20	2018-03-17	0020-03-20	17	Male	143	121.7158381	2017-02-20	NA	391	1.070499658	ingroupnonbreeder	1	102	358	0.8823529411764706	1.4565993739468734	0.38235294117647056	0.9662332674199685
KR10M018	NA	KRR	NA	0014-09-20	2018-09-14	NA	NA	Male	NA	NA	2017-02-20	NA	571	1.563312799	Disappeared	2	102	NA	NA	NA	NA	NA
KR10M019	Kuruman 10	KRR	7	0022-02-20	2017-02-20	0023-02-20	11	Male	92	209.6293089	2017-02-20	NA	0	0	ingroupnonbreeder	1	103	275	0.9090909090909092	0.1604249495124281	0.40909090909090917	2.4298168977200922
KR10M019	Kuruman 10	KRR	8	0019-08-20	2017-08-19	0022-08-20	12	Male	134	1.34743409	2017-02-20	NA	180	0.492813142	ingroupnonbreeder	1	103	337	0.75	1.227862710811383	0.25	-1.0376601531363236
KR10M019	Kuruman 10	KRR	9	0017-03-20	2018-03-17	0020-03-20	17	Male	174	121.7158381	2017-02-20	NA	390	1.067761807	ingroupnonbreeder	1	103	358	0.8823529411764706	2.244470102524674	0.38235294117647056	0.9662332674199685
KR10M019	Kuruman 42	KRR	10	0016-10-20	2018-10-15	0017-10-20	3	Male	181	11.76823613	2017-02-20	NA	603	1.650924025	Disappeared	2	103	404	0.3333333333333333	2.4223763960744993	-0.16666666666666669	-0.8641746208105754
KR10M020	Kuruman 10	KRR	7	0023-02-20	2017-02-20	0023-02-20	11	Male	83	209.6293089	2017-02-20	NA	0	0	ingroupnonbreeder	1	104	275	0.9090909090909092	-0.06831171362306225	0.40909090909090917	2.4298168977200922
KR10M020	Kuruman 10	KRR	8	0022-08-20	2017-08-19	0022-08-20	12	Male	123	1.34743409	2017-02-20	NA	183	0.501026694	ingroupnonbreeder	1	104	337	0.75	0.9482956780902283	0.25	-1.0376601531363236
KR10M020	Kuruman 10	KRR	9	0018-03-20	2018-03-17	0020-03-20	17	Male	170	121.7158381	2017-02-20	NA	391	1.070499658	ingroupnonbreeder	1	104	358	0.8823529411764706	2.1428093633533445	0.38235294117647056	0.9662332674199685
KR10M020	NA	KRR	NA	0014-09-20	2018-09-14	NA	NA	Male	NA	NA	2017-02-20	NA	571	1.563312799	Disappeared	2	104	NA	NA	NA	NA	NA
KR10M021	Kuruman 10	KRR	7	0023-02-20	2017-02-20	0023-02-20	11	Male	75	209.6293089	2017-02-20	NA	0	0	ingroupnonbreeder	1	105	275	0.9090909090909092	-0.27163319196572033	0.40909090909090917	2.4298168977200922
KR10M021	Kuruman 10	KRR	8	0019-08-20	2017-08-19	0022-08-20	12	Male	130	1.34743409	2017-02-20	NA	180	0.492813142	ingroupnonbreeder	1	105	337	0.75	1.1262019716400542	0.25	-1.0376601531363236
KR10M021	Kuruman 10	KRR	9	0017-03-20	2018-03-17	0020-03-20	17	Male	177	121.7158381	2017-02-20	NA	390	1.067761807	ingroupnonbreeder	1	105	358	0.8823529411764706	2.3207156569031704	0.38235294117647056	0.9662332674199685
KR10M021	NA	KRR	NA	0014-09-20	2018-09-14	NA	NA	Male	NA	NA	2017-02-20	NA	571	1.563312799	Disappeared	2	105	NA	NA	NA	NA	NA
KR10M023	Kuruman 10	KRR	8	0021-08-20	2017-08-19	0022-08-20	12	Male	52	1.34743409	2017-08-19	NA	0	0	ingroupnonbreeder	1	158	337	0.75	-0.8561824422008624	0.25	-1.0376601531363236
