GroupID,GroupSize,nfemales,nmales,SexRatiomf,CaptureStart,CompleteCapture,SessRef,Location
Lonely 20,10,5,5,0.5,2017-07-20,0,317,Lonely
Kuruman 19,7,3,4,0.5714285714285714,2017-08-01,1,326,Kuruman
Kuruman 20,10,2,8,0.8,2017-08-01,1,325,Kuruman
Kuruman 26,9,5,4,0.4444444444444444,2017-08-07,1,328,Kuruman
Kuruman 27,12,6,6,0.5,2017-08-07,1,329,Kuruman
Kuruman 8,11,5,6,0.5454545454545454,2017-08-14,1,335,Kuruman
Kuruman 10,12,3,9,0.75,2017-08-19,1,337,Kuruman
Kuruman 11,11,6,5,0.4545454545454546,2017-08-19,1,338,Kuruman
Kuruman 1,4,3,1,0.25,2017-10-09,1,348,Kuruman
Kuruman 34,4,1,3,0.75,2017-10-09,1,347,Kuruman
Kuruman 36,14,9,5,0.35714285714285715,2017-10-09,1,350,Kuruman
Kuruman 28,6,2,4,0.6666666666666666,2017-10-19,0,353,Kuruman
Kuruman 30,3,1,2,0.6666666666666666,2017-10-19,0,352,Kuruman
Kuruman 31,6,3,3,0.5,2017-10-19,0,354,Kuruman
Kuruman 38,4,1,3,0.75,2017-10-19,0,351,Kuruman
Kuruman 10,17,2,15,0.8823529411764706,2018-03-17,1,358,Kuruman
Kuruman 11,15,9,6,0.4,2018-03-17,1,359,Kuruman
Kuruman 1,4,3,1,0.25,2018-03-23,1,360,Kuruman
Kuruman 24,4,2,2,0.5,2018-03-24,1,362,Kuruman
Kuruman 26,15,8,7,0.4666666666666667,2018-03-29,1,363,Kuruman
Kuruman 31,7,3,4,0.5714285714285714,2018-03-29,1,365,Kuruman
Kuruman 27,16,7,9,0.5625,2018-04-05,0,368,Kuruman
Kuruman 39,3,2,1,0.3333333333333333,2018-04-05,1,367,Kuruman
Kuruman 30,3,1,2,0.6666666666666666,2018-04-13,1,369,Kuruman
Kuruman 36,9,5,4,0.4444444444444444,2018-04-17,0,371,Kuruman
Kuruman 28,8,3,5,0.625,2018-04-20,1,372,Kuruman
Kuruman 8,16,6,10,0.625,2018-04-30,0,378,Kuruman
Kuruman 20,13,6,7,0.5384615384615384,2018-05-09,0,381,Kuruman
Kuruman 19,8,4,4,0.5,2018-05-23,1,383,Kuruman
Kuruman 19,5,2,3,0.6,2018-06-04,0,387,Kuruman
Kuruman 30,3,1,2,0.6666666666666666,2018-09-14,1,393,Kuruman
Kuruman 28,9,4,5,0.5555555555555556,2018-09-15,1,392,Kuruman
Kuruman 20,14,6,8,0.5714285714285714,2018-09-21,1,396,Kuruman
Kuruman 10,16,3,13,0.8125,2018-10-02,0,399,Kuruman
Kuruman 11,16,10,6,0.375,2018-10-02,0,400,Kuruman
Kuruman 36,12,7,5,0.4166666666666667,2018-10-13,0,401,Kuruman
Kuruman 33,5,3,2,0.4,2018-10-15,0,402,Kuruman
Kuruman 42,3,2,1,0.3333333333333333,2018-10-15,1,404,Kuruman
Kuruman 20,14,6,8,0.5714285714285714,2018-10-23,1,406,Kuruman
Kuruman 28,4,2,2,0.5,2018-10-28,0,407,Kuruman
Kuruman 8,16,7,9,0.5625,2018-11-05,0,409,Kuruman
Kuruman 26,9,4,5,0.5555555555555556,2018-11-06,0,412,Kuruman
Kuruman 19,6,3,3,0.5,2018-11-13,0,415,Kuruman
Kuruman 7,4,2,2,0.5,2018-11-13,0,414,Kuruman
Kuruman 28,9,4,5,0.5555555555555556,2018-11-22,1,417,Kuruman
Kuruman 43,5,3,2,0.4,2018-11-22,1,418,Kuruman
Kuruman 27,8,4,4,0.5,2018-11-25,0,420,Kuruman
Kuruman 39,5,2,3,0.6,2018-11-27,0,422,Kuruman
Kuruman 7,6,3,3,0.5,2019-03-09,1,424,Kuruman
Kuruman 8,15,6,9,0.6,2019-03-09,0,425,Kuruman
Kuruman 10,20,4,16,0.8,2019-03-12,0,428,Kuruman
Kuruman 11,22,12,10,0.4545454545454546,2019-03-12,0,426,Kuruman
Kuruman 42,6,3,3,0.5,2019-03-12,0,427,Kuruman
Kuruman 28,11,4,7,0.6363636363636364,2019-03-19,1,430,Kuruman
Kuruman 39,5,2,3,0.6,2019-03-19,1,432,Kuruman
Kuruman 43,5,3,2,0.4,2019-03-19,1,433,Kuruman
Kuruman 19,9,5,4,0.4444444444444444,2019-03-25,0,437,Kuruman
Kuruman 20,17,7,10,0.5882352941176471,2019-03-25,1,436,Kuruman
Kuruman 7,4,2,2,0.5,2019-04-01,0,438,Kuruman
Kuruman 35,5,3,2,0.4,2019-04-04,1,443,Kuruman
Kuruman 42,3,2,1,0.3333333333333333,2019-04-04,0,442,Kuruman
Kuruman 11,20,10,10,0.5,2019-04-05,0,444,Kuruman
Kuruman 34,7,3,4,0.5714285714285714,2019-04-06,0,445,Kuruman
Kuruman 39,4,1,3,0.75,2019-04-12,0,447,Kuruman
Kuruman 33,7,5,2,0.2857142857142857,2019-04-15,0,449,Kuruman
Kuruman 36,15,9,6,0.4,2019-04-15,0,450,Kuruman
Kuruman 38,3,1,2,0.6666666666666666,2019-04-17,0,451,Kuruman
Kuruman 33,6,4,2,0.3333333333333333,2019-05-14,0,452,Kuruman
Kuruman 10,19,3,16,0.8421052631578947,2019-09-09,1,454,Kuruman
Kuruman 34,8,4,4,0.5,2019-09-09,1,453,Kuruman
Kuruman 27,6,4,2,0.3333333333333333,2019-09-16,0,459,Kuruman
Kuruman 28,8,5,3,0.375,2019-09-16,1,457,Kuruman
Kuruman 39,6,1,5,0.8333333333333334,2019-09-16,1,455,Kuruman
Kuruman 43,7,5,2,0.2857142857142857,2019-09-16,0,456,Kuruman
Kuruman 11,20,10,10,0.5,2019-09-23,1,461,Kuruman
Kuruman 24,3,2,1,0.3333333333333333,2019-09-23,1,460,Kuruman
Kuruman 7,11,6,5,0.4545454545454546,2019-09-30,1,465,Kuruman
Kuruman 10,18,3,15,0.8333333333333334,2019-10-06,1,468,Kuruman
Kuruman 34,8,4,4,0.5,2019-10-06,0,466,Kuruman
Kuruman 35,7,4,3,0.42857142857142855,2019-10-06,1,467,Kuruman
Kuruman 42,7,4,3,0.42857142857142855,2019-10-06,1,469,Kuruman
Kuruman 33,7,5,2,0.2857142857142857,2019-10-07,1,470,Kuruman
Kuruman 43,6,4,2,0.3333333333333333,2019-10-14,0,471,Kuruman
Kuruman 8,15,7,8,0.5333333333333333,2019-10-15,1,474,Kuruman
Kuruman 26,13,7,6,0.4615384615384616,2019-10-17,1,477,Kuruman
Kuruman 36,4,4,0,0,2019-10-28,0,487,Kuruman
Kuruman 49,17,8,9,0.5294117647058824,2019-10-28,1,486,Kuruman
Kuruman 19,12,6,6,0.5,2019-11-15,1,496,Kuruman
Kuruman 31,13,7,6,0.4615384615384616,2019-11-23,1,497,Kuruman
Kuruman 10,16,3,13,0.8125,2020-03-08,1,503,Kuruman
Kuruman 42,7,4,3,0.42857142857142855,2020-03-08,0,504,Kuruman
Kuruman 28,13,9,4,0.3076923076923077,2020-03-16,0,507,Kuruman
Kuruman 39,6,1,5,0.8333333333333334,2020-03-16,0,506,Kuruman
Kuruman 43,10,8,2,0.2,2020-03-16,1,505,Kuruman
Kuruman 45,3,1,2,0.6666666666666666,2020-03-23,1,508,Kuruman
Kuruman 11,17,9,8,0.4705882352941176,2020-03-30,1,515,Kuruman
Kuruman 24,3,2,1,0.3333333333333333,2020-03-30,1,514,Kuruman
Kuruman 34,8,4,4,0.5,2020-03-31,1,516,Kuruman
Kuruman 20,19,10,9,0.47368421052631576,2020-04-06,0,520,Kuruman
Kuruman 35,9,4,5,0.5555555555555556,2020-04-13,1,521,Kuruman
Kuruman 33,6,4,2,0.3333333333333333,2020-04-15,1,524,Kuruman
Kuruman 31,17,9,8,0.4705882352941176,2020-04-20,1,527,Kuruman
Kuruman 8,22,13,9,0.4090909090909091,2020-04-20,1,525,Kuruman
Kuruman 53,5,2,3,0.6,2020-04-22,1,526,Kuruman
Kuruman 30,10,5,5,0.5,2020-04-27,1,530,Kuruman
Kuruman 19,10,4,6,0.6,2020-04-28,0,531,Kuruman
Kuruman 26,11,7,4,0.3636363636363637,2020-05-04,1,533,Kuruman
Kuruman 27,8,4,4,0.5,2020-05-05,1,535,Kuruman
Kuruman 36,8,6,2,0.25,2020-05-11,1,536,Kuruman
Kuruman 49,13,4,9,0.6923076923076923,2020-05-19,1,540,Kuruman
Kuruman 7,6,3,3,0.5,2020-05-20,0,541,Kuruman
