AnimalID,SessRef,Sex,GroupID,GroupSize,SexRatiomf,CaptureStart,SessRef2,DateofCapture,DateofCapture2,weight,weight1,rate,timediff,TeethWidth,massindex
KR10M026,358,Male,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-19,2018-10-07,60,109,0.242574257425743,202,4.355,78.16702733022841
KR10M026,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-09,111,101,-0.0555555555555556,180,6.085,76.65032950028426
KR10M026,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-09,2019-10-07,101,113,0.0648648648648649,28,6.1899999999999995,67.51690027385271
KR10M027,358,Male,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-19,2018-10-04,59,105,0.231155778894472,199,4.13,85.00479587675794
KR10M027,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-10,116,113,-0.0165745856353591,181,5.93,84.1229094019664
KR10M027,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-10,2019-10-06,113,126,0.0718232044198895,26,5.825,84.77317091008508
KR10M028,358,Male,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-17,2018-10-03,100,136,0.18,200,5.175,93.9060602743336
KR10M028,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-09,155,141,-0.0777777777777778,180,6.640000000000001,90.69560818464466
KR10M028,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-09,2019-10-06,141,157,0.087431693989071,27,6.275,91.84808209326896
KR10M029,358,Male,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-20,2018-10-06,50,91,0.205,200,3.705,88.52373646307831
KR10M029,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-12,2019-09-10,102,97,-0.0274725274725275,182,5.55,83.87588837332754
KR10M029,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-10,2019-10-08,97,107,0.0549450549450549,28,5.5,81.14600713254424
KR10M030,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-10,87,77,-0.0552486187845304,181,5.41,75.09523687553201
KR10M031,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-12,2019-09-10,67,86,0.104395604395604,182,4.82,72.00079220764961
KR10M031,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-10,2019-10-07,86,109,0.12707182320442,27,5.385,74.88742413042908
KR10M032,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-10,65,70,0.0276243093922652,181,4.845000000000001,69.16911484608329
KR10M032,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-10,2019-10-06,70,87,0.092896174863388,26,5.1850000000000005,65.49386631181534
KR10M033,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-10,77,75,-0.0110497237569061,181,4.705,86.62734396224454
KR10M033,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-10,2019-10-08,75,101,0.14207650273224,28,5.04,74.0525404079243
KR10M034,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-16,2019-09-09,30,53,0.129943502824859,177,3.17,71.40673891269584
KR10M034,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-09,2019-10-07,53,83,0.16304347826087,28,4.275,71.5201557327668
KR10M035,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-17,2019-09-10,30,63,0.186440677966102,177,3.08,75.41825492963552
KR10M035,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-10,2019-10-07,63,92,0.160220994475138,27,4.58,74.59275296552033
KR10M037,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-14,2019-09-10,66,83,0.0944444444444444,180,4.550000000000001,79.12544568079699
KR11F002,276,Female,Kuruman 11,7,0.42857142857142855,2017-02-20,338,2017-02-20,2017-08-19,43,94,0.283333333333333,180,2.97,115.82337719745634
KR11F002,338,Female,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-19,2018-03-18,94,119,0.118483412322275,211,4.795,102.01783630082602
KR11F002,359,Female,Kuruman 11,15,0.4,2018-03-17,400,2018-03-18,2018-10-03,119,119,0,199,5.285,107.37567757409452
KR11F003,276,Female,Kuruman 11,7,0.42857142857142855,2017-02-20,338,2017-02-21,2017-08-19,76,116,0.223463687150838,179,4.525,92.07179954534487
KR11F003,338,Female,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-19,2018-03-19,116,133,0.080188679245283,212,5.34,102.632391749436
KR11F006,276,Female,Kuruman 11,7,0.42857142857142855,2017-02-20,338,2017-02-22,2017-08-19,43,92,0.275280898876405,178,3.475,85.97599685032787
KR11F006,338,Female,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-19,2018-03-17,92,112,0.0952380952380952,210,5.0649999999999995,89.98882170786615
KR11F006,359,Female,Kuruman 11,15,0.4,2018-03-17,400,2018-03-17,2018-10-02,112,137,0.125628140703518,199,5.75,86.11490756916527
KR11F006,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-07,142,121,-0.108247422680412,25,6.025,99.91855357422594
KR11F007,338,Female,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-19,2018-03-18,53,98,0.213270142180095,211,3.95,83.09848405750918
KR11F007,359,Female,Kuruman 11,15,0.4,2018-03-17,400,2018-03-18,2018-10-05,98,123,0.124378109452736,201,5.640000000000001,78.16378477099141
KR11F008,338,Female,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-20,2018-03-18,57,107,0.238095238095238,210,3.81,95.70460478413376
KR11F008,359,Female,Kuruman 11,15,0.4,2018-03-17,400,2018-03-18,2018-10-04,107,121,0.07,200,4.985,107.87123587810652
KR11F008,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-06,122,111,-0.0561224489795918,24,5.585,99.13242796961364
KR11F008,461,Female,Kuruman 11,20,0.5,2019-09-23,515,2019-09-25,2020-04-01,111,104,-0.037037037037037,189,5.57,90.65574968584971
KR11F013,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-06,92,79,-0.065989847715736,24,5.33,81.68815639168983
KR11F013,461,Female,Kuruman 11,20,0.5,2019-09-23,515,2019-09-26,2020-03-31,79,84,0.0267379679144385,187,5.165,74.45859224073433
KR11F015,359,Female,Kuruman 11,15,0.4,2018-03-17,400,2018-03-20,2018-10-02,49,91,0.214285714285714,196,3.31,107.44764089295796
KR11F015,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-14,2019-04-05,115,99,-0.0824742268041237,22,5.345000000000001,101.5670835613862
KR11F015,461,Female,Kuruman 11,20,0.5,2019-09-23,515,2019-09-24,2020-03-31,99,104,0.0264550264550265,189,5.390000000000001,86.05592154666503
KR11F016,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-05,79,74,-0.0256410256410256,23,4.34,103.59599950812648
KR11F016,461,Female,Kuruman 11,20,0.5,2019-09-23,515,2019-09-24,2020-04-01,74,85,0.0578947368421053,190,4.8149999999999995,79.68004438346914
KR11F019,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-14,2019-04-06,80,74,-0.0310880829015544,23,4.575,94.91750118373524
KR11F019,461,Female,Kuruman 11,20,0.5,2019-09-23,515,2019-09-23,2020-03-31,74,78,0.0210526315789474,190,4.76,81.43624881466404
KR11F021,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-06,70,70,0,24,4.395,89.62624673073354
KR11F021,461,Female,Kuruman 11,20,0.5,2019-09-23,515,2019-09-24,2020-03-31,70,75,0.0264550264550265,189,4.71,78.59355812871455
KR11F022,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-14,2019-04-06,55,71,0.0820512820512821,23,3.605,102.56578420692388
KR11F022,461,Female,Kuruman 11,20,0.5,2019-09-23,515,2019-09-25,2020-04-01,71,76,0.0264550264550265,189,4.62,82.68901760691728
KR11M004,276,Male,Kuruman 11,7,0.42857142857142855,2017-02-20,338,2017-02-21,2017-08-19,85,115,0.167597765363128,179,4.535,102.5445631878887
KR11M004,338,Male,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-19,2018-03-17,115,164,0.233333333333333,210,5.485,96.70390787277044
KR11M004,359,Male,Kuruman 11,15,0.4,2018-03-17,400,2018-03-17,2018-10-06,164,170,0.0295566502463054,203,6.26,107.31669156925727
KR11M004,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-14,2019-04-08,178,147,-0.158974358974359,25,6.54,107.19658100979277
KR11M004,461,Male,Kuruman 11,20,0.5,2019-09-23,515,2019-09-25,2020-04-01,147,135,-0.0634920634920635,189,6.555,88.14347515286137
KR11M009,338,Male,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-20,2018-03-18,54,122,0.323809523809524,210,3.705,95.60563538012455
KR11M009,359,Male,Kuruman 11,15,0.4,2018-03-17,400,2018-03-18,2018-10-03,122,152,0.150753768844221,199,5.7,95.37137546124733
KR11M009,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-06,183,137,-0.235897435897436,24,6.975,97.53050722324016
